Update log for update_gen1_stats.py
Note: entries list species and abilities replacement performed.

SPECIES_BULBASAUR: abilities changed from '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}' to '{ABILITY_OVERGROW, ABILITY_NONE, ABILITY_CHLOROPHYLL}'
SPECIES_MAGMAR: abilities changed from '{ABILITY_FLAME_BODY, ABILITY_NONE, ABILITY_VITAL_SPIRIT}' to '{ABILITY_FLAMEBODY, ABILITY_MAGMAARMOR, ABILITY_INSOMNIA}'
SPECIES_PINSIR: abilities changed from '{ABILITY_HYPER_CUTTER, ABILITY_MOLD_BREAKER, ABILITY_MOXIE}' to '{ABILITY_HYPERCUTTER, ABILITY_MOLDBREAKER, ABILITY_MOXIE}'
SPECIES_TAUROS: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_ANGER_POINT, ABILITY_SHEER_FORCE}' to '{ABILITY_INTIMIDATE, ABILITY_ANGERPOINT, ABILITY_SHEERFORCE}'
SPECIES_MAGIKARP: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_NONE, ABILITY_RATTLED}' to '{ABILITY_SWIFTSWIM, ABILITY_NONE, ABILITY_HYDRATION}'
SPECIES_GYARADOS: abilities changed from '{ABILITY_INTIMIDATE, ABILITY_NONE, ABILITY_MOXIE}' to '{ABILITY_INTIMIDATE, ABILITY_NONE, ABILITY_MOXIE}'
SPECIES_LAPRAS: abilities changed from '{ABILITY_WATER_ABSORB, ABILITY_SHELL_ARMOR, ABILITY_HYDRATION}' to '{ABILITY_WATERABSORB, ABILITY_HYDRATION, ABILITY_HYDRATION}'
SPECIES_DITTO: abilities changed from '{ABILITY_LIMBER, ABILITY_NONE, ABILITY_IMPOSTER}' to '{ABILITY_LIMBER, ABILITY_NONE, ABILITY_IMPOSTER}'
SPECIES_EEVEE: abilities changed from '{ABILITY_RUN_AWAY, ABILITY_ADAPTABILITY, ABILITY_ANTICIPATION}' to '{ABILITY_RUNAWAY, ABILITY_ADAPTABILITY, ABILITY_ADAPTABILITY}'
SPECIES_VAPOREON: abilities changed from '{ABILITY_WATER_ABSORB, ABILITY_WATER_ABSORB, ABILITY_HYDRATION}' to '{ABILITY_WATERABSORB, ABILITY_WATERABSORB, ABILITY_HYDRATION}'
SPECIES_JOLTEON: abilities changed from '{ABILITY_VOLT_ABSORB, ABILITY_VOLT_ABSORB, ABILITY_QUICK_FEET}' to '{ABILITY_VOLTABSORB, ABILITY_VOLTABSORB, ABILITY_QUICKFEET}'
SPECIES_FLAREON: abilities changed from '{ABILITY_FLASH_FIRE, ABILITY_FLASH_FIRE, ABILITY_GUTS}' to '{ABILITY_FLASHFIRE, ABILITY_FLASHFIRE, ABILITY_TOXICBOOST}'
SPECIES_PORYGON: abilities changed from '{ABILITY_TRACE, ABILITY_DOWNLOAD, ABILITY_ANALYTIC}' to '{ABILITY_TRACE, ABILITY_DOWNLOAD, ABILITY_ANALYTIC}'
SPECIES_OMANYTE: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_SHELL_ARMOR, ABILITY_WEAK_ARMOR}' to '{ABILITY_SWIFTSWIM, ABILITY_BATTLEARMOR, ABILITY_WEAKARMOR}'
SPECIES_OMASTAR: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_SHELL_ARMOR, ABILITY_WEAK_ARMOR}' to '{ABILITY_SWIFTSWIM, ABILITY_BATTLEARMOR, ABILITY_WEAKARMOR}'
SPECIES_KABUTO: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_BATTLE_ARMOR, ABILITY_WEAK_ARMOR}' to '{ABILITY_WEAKARMOR, ABILITY_BATTLEARMOR, ABILITY_SWIFTSWIM}'
SPECIES_KABUTOPS: abilities changed from '{ABILITY_SWIFT_SWIM, ABILITY_BATTLE_ARMOR, ABILITY_WEAK_ARMOR}' to '{ABILITY_SHARPNESS, ABILITY_SHARPNESS, ABILITY_SWIFTSWIM}'
SPECIES_AERODACTYL: abilities changed from '{ABILITY_ROCK_HEAD, ABILITY_PRESSURE, ABILITY_UNNERVE}' to '{ABILITY_ROCKHEAD, ABILITY_PRESSURE, ABILITY_UNNERVE}'
SPECIES_SNORLAX: abilities changed from '{ABILITY_IMMUNITY, ABILITY_THICK_FAT, ABILITY_GLUTTONY}' to '{ABILITY_IMMUNITY, ABILITY_THICKFAT, ABILITY_GLUTTONY}'
SPECIES_ARTICUNO: abilities changed from '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_SNOW_CLOAK}' to '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_SHIELDDUST}'
SPECIES_ZAPDOS: abilities changed from '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_STATIC}' to '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_STATIC}'
SPECIES_MOLTRES: abilities changed from '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_FLAME_BODY}' to '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_FLAMEBODY}'
SPECIES_DRATINI: abilities changed from '{ABILITY_SHED_SKIN, ABILITY_NONE, ABILITY_MARVEL_SCALE}' to '{ABILITY_SHEDSKIN, ABILITY_NONE, ABILITY_MARVELSCALE}'
SPECIES_DRAGONAIR: abilities changed from '{ABILITY_SHED_SKIN, ABILITY_NONE, ABILITY_MARVEL_SCALE}' to '{ABILITY_SHEDSKIN, ABILITY_NONE, ABILITY_MARVELSCALE}'
SPECIES_DRAGONITE: abilities changed from '{ABILITY_INNER_FOCUS, ABILITY_NONE, ABILITY_MULTISCALE}' to '{ABILITY_INNERFOCUS, ABILITY_NONE, ABILITY_MULTISCALE}'
SPECIES_MEWTWO: abilities changed from '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_UNNERVE}' to '{ABILITY_PRESSURE, ABILITY_NONE, ABILITY_UNNERVE}'
SPECIES_MEW: abilities changed from '{ABILITY_SYNCHRONIZE, ABILITY_NONE, ABILITY_NONE}' to '{ABILITY_SYNCHRONIZE, ABILITY_NONE, ABILITY_NONE}'
